Date,Action,Signal,Price,Shares,Fee,Cash,Portfolio_Value,PnL
2025-04-15,BUY,Buy,202.13999938964844,71.22127321894679,14.4110792042121,0.0,14396.66812500789,0.0
2025-05-08,SELL,Strong Sell,197.49000549316406,71.22127321894679,14.06548963923994,14051.4241496007,14051.4241496007,-359.6550546114013
2025-05-12,BUY,Buy,210.7899932861328,66.59411344255008,14.0514241496007,0.0,14037.3727254511,0.0
2025-05-22,SELL,Strong Sell,201.36000061035156,66.59411344255008,13.409390723437706,13395.981332714267,13395.981332714267,-655.4428168864324
2025-06-06,BUY,Strong Buy,203.9199981689453,65.6266451135128,13.395981332714268,0.0,13382.585351381553,0.0
2025-06-11,SELL,Strong Sell,198.77999877929688,65.6266451135128,13.045264435553424,13032.21917111787,13032.21917111787,-363.7621615963981
2025-06-23,BUY,Buy,201.5,64.61134963745286,13.03221917111787,0.0,13019.186951946751,0.0
2025-07-29,SELL,Sell,211.27000427246094,64.61134963745286,13.650440113954133,13636.78967384018,13636.78967384018,604.5705027223103
2025-08-06,BUY,Buy,213.25,63.883483630322814,13.63678967384018,0.0,13623.15288416634,0.0
2025-08-25,SELL,Sell,227.16000366210938,63.883483630322814,14.511772375412434,14497.260603037023,14497.260603037023,860.4709291968429
2025-09-03,BUY,Strong Buy,238.47000122070312,60.73201353754446,14.497260603037024,0.0,14482.763342433986,0.0
2025-09-10,SELL,Sell,226.7899932861328,60.73201353754446,13.773412942433035,13759.639529490601,13759.639529490601,-737.621073546421
2025-09-19,BUY,Strong Buy,245.5,55.99136411389454,13.759639529490602,0.0,13745.87988996111,0.0
2025-11-07,SELL,Sell,268.4700012207031,55.99136411389454,15.032001592006102,15016.969590414095,15016.969590414095,1257.3300609234939
2025-11-28,BUY,Strong Buy,278.8500061035156,53.79936271277902,15.016969590414096,0.0,15001.952620823682,0.0
2025-12-08,SELL,Sell,277.8900146484375,53.79936271277902,14.950305692330765,14935.355386638434,14935.355386638434,-81.61420377566174
2026-01-28,BUY,Buy,256.44000244140625,58.18288835284561,14.935355386638435,0.0,14920.420031251795,0.0
2026-02-13,SELL,Sell,255.77999877929688,58.18288835284561,14.882019111866816,14867.137092754949,14867.137092754949,-68.21829388348488
2026-02-23,BUY,Buy,266.17999267578125,55.79784493327003,14.867137092754948,0.0,14852.269955662194,0.0
2026-03-02,SELL,Sell,264.7200012207031,55.79784493327003,14.770805578847845,14756.034773268997,14756.034773268997,-111.10231948595174
2026-03-31,BUY,Buy,253.7899932861328,58.08455466514722,14.756034773268997,0.0,14741.278738495728,0.0
