Date,Close,Signal,Cash,Shares,Position_Value,Portfolio_Value
2022-07-18,147.07000732421875,Buy,0.0,79.7835339308605,11733.76491956371,11733.76491956371
2022-07-19,151.0,Buy,0.0,79.7835339308605,12047.313623559936,12047.313623559936
2022-07-20,153.0399932861328,Strong Buy,0.0,79.7835339308605,12210.07149712284,12210.07149712284
2022-07-21,155.35000610351562,Buy,0.0,79.7835339308605,12394.372483119225,12394.372483119225
2022-07-22,154.08999633789062,Buy,0.0,79.7835339308605,12293.844451230267,12293.844451230267
2022-07-25,152.9499969482422,Buy,0.0,79.7835339308605,12202.891271245091,12202.891271245091
2022-07-26,151.60000610351562,Buy,0.0,79.7835339308605,12095.184230878498,12095.184230878498
2022-07-27,156.7899932861328,Buy,0.0,79.7835339308605,12509.259749363568,12509.259749363568
2022-07-28,157.35000610351562,Buy,0.0,79.7835339308605,12553.939550980946,12553.939550980946
2022-07-29,162.50999450683594,Hold,0.0,79.7835339308605,12965.6216608401,12965.6216608401
2022-08-01,161.50999450683594,Buy,0.0,79.7835339308605,12885.838126909239,12885.838126909239
2022-08-02,160.00999450683594,Buy,0.0,79.7835339308605,12766.162826012947,12766.162826012947
2022-08-03,166.1300048828125,Hold,0.0,79.7835339308605,13254.438881501892,13254.438881501892
2022-08-04,165.80999755859375,Hold,0.0,79.7835339308605,13228.90756629196,13228.90756629196
2022-08-05,165.35000610351562,Buy,0.0,79.7835339308605,13192.20782242783,13192.20782242783
2022-08-08,164.8699951171875,Buy,0.0,79.7835339308605,13153.910849612934,13153.910849612934
2022-08-09,164.9199981689453,Buy,0.0,79.7835339308605,13157.9002697895,13157.9002697895
2022-08-10,169.24000549316406,Hold,0.0,79.7835339308605,13502.565720722872,13502.565720722872
2022-08-11,168.49000549316406,Hold,0.0,79.7835339308605,13442.728070274727,13442.728070274727
2022-08-12,172.10000610351562,Hold,0.0,79.7835339308605,13730.746676461138,13730.746676461138
2022-08-15,173.19000244140625,Hold,0.0,79.7835339308605,13817.710436269748,13817.710436269748
2022-08-16,173.02999877929688,Hold,0.0,79.7835339308605,13804.944778664783,13804.944778664783
2022-08-17,174.5500030517578,Hold,0.0,79.7835339308605,13926.216091111723,13926.216091111723
2022-08-18,174.14999389648438,Hold,0.0,79.7835339308605,13894.30194709931,13894.30194709931
2022-08-19,171.52000427246094,Hold,0.0,79.7835339308605,13684.472080693226,13684.472080693226
